model,row,equation,mean,std,p05,p95,ess,geweke_z
mixed_stationary,const,cpi_yoy,0.24884437903429762,0.08819367750981916,0.1046597405246939,0.39410576980428347,4000.0,0.25428604830716534
mixed_stationary,const,policy_rate,0.02098278087581901,0.025157946355817272,-0.019950417749129656,0.06201873921709583,3800.890150769227,0.25380555393018644
mixed_stationary,const,dln_plneur,0.0018155155056980511,0.0020886779564212913,-0.001676774973617532,0.005217295780433687,3906.5575544059216,-0.7799519542349198
mixed_stationary,cpi_l1,cpi_yoy,1.0889692343089201,0.04046908954039275,1.0239668809649243,1.1569123131640322,3925.3957245906076,-0.4750719881200893
mixed_stationary,cpi_l1,policy_rate,0.04190212076235379,0.011705421048922646,0.022667436176897697,0.061502879159996415,4000.0,0.3997591815698685
mixed_stationary,cpi_l1,dln_plneur,3.3654400430813446e-05,0.0009390812149763533,-0.001532129285481782,0.0015676132643276481,4000.0,-0.18715144070005704
mixed_stationary,rate_l1,cpi_yoy,0.23526398390543982,0.13305387078635444,0.01496465990546503,0.45666542535444044,4000.0,-0.05271254431170088
mixed_stationary,rate_l1,policy_rate,1.1376727421666692,0.03861648067652782,1.072826759670515,1.200454964775689,4000.0,-0.1015200139010677
mixed_stationary,rate_l1,dln_plneur,0.001216740823912131,0.0030821118782303255,-0.0037920672020993074,0.006366731020064149,4000.0,0.520856409381993
mixed_stationary,lnfx_l1,cpi_yoy,2.787214113345842,3.1537675221812824,-2.3987055442294523,7.925191280391899,4000.0,1.137472197345213
mixed_stationary,lnfx_l1,policy_rate,-0.24396997374354037,0.9067190559427949,-1.7210744274045433,1.2333313899253655,3872.570672643371,0.47989146881818606
mixed_stationary,lnfx_l1,dln_plneur,0.2341505130061985,0.07186491818464182,0.1144112435974379,0.35073253675496163,4000.0,-1.1124349077955253
mixed_stationary,cpi_l2,cpi_yoy,-0.08562090003045965,0.039719341440118,-0.15199587495810543,-0.02069107364189443,3942.6799291535835,0.4704616549515384
mixed_stationary,cpi_l2,policy_rate,-0.024622031025565285,0.011516463227339273,-0.04343880903116918,-0.005803202948733342,4000.0,-0.20791188416231438
mixed_stationary,cpi_l2,dln_plneur,-0.0001319496982744294,0.0009234187631485481,-0.0016278932063712203,0.0013932110154759422,4000.0,0.12151359640009278
mixed_stationary,rate_l2,cpi_yoy,-0.3174881391619471,0.12831430828321277,-0.5265309010269172,-0.1053465089487057,4000.0,0.0009629582771405697
mixed_stationary,rate_l2,policy_rate,-0.16221221204639477,0.03734476808578085,-0.2236954150108493,-0.09944668750698696,4000.0,-0.12120652972177966
mixed_stationary,rate_l2,dln_plneur,-0.0015692504771999886,0.002962295756934224,-0.006541756073772925,0.003190951783673728,4000.0,-0.21547529934888196
mixed_stationary,lnfx_l2,cpi_yoy,0.5690023948441422,1.84730861540096,-2.447466321671239,3.6094203132391747,3983.8991629361713,1.5208391580554124
mixed_stationary,lnfx_l2,policy_rate,-0.1524892913396478,0.5343268331221582,-1.01302837214788,0.7267848503749129,3843.492062984905,1.3596834883479463
mixed_stationary,lnfx_l2,dln_plneur,-0.0742941149815987,0.04352464193606059,-0.14534010528918645,-0.00197787601395273,3777.952401832219,1.143761661165593
